,previous_state,current_state
113,"[[6, 2, 7], [3, 0, 5], [1, 8, 4]]","[[6, 2, 7], [3, 8, 5], [1, 0, 4]]"
114,"[[6, 7, 0], [3, 2, 5], [1, 8, 4]]","[[6, 7, 5], [3, 2, 0], [1, 8, 4]]"
115,"[[2, 3, 6], [1, 0, 7], [8, 5, 4]]","[[2, 0, 6], [1, 3, 7], [8, 5, 4]]"
116,"[[2, 3, 7], [6, 5, 0], [1, 8, 4]]","[[2, 3, 0], [6, 5, 7], [1, 8, 4]]"
117,"[[2, 3, 6], [1, 0, 7], [8, 5, 4]]","[[2, 3, 6], [0, 1, 7], [8, 5, 4]]"
118,"[[2, 3, 7], [1, 6, 5], [8, 0, 4]]","[[2, 3, 7], [1, 0, 5], [8, 6, 4]]"
119,"[[2, 3, 7], [6, 5, 0], [1, 8, 4]]","[[2, 3, 7], [6, 5, 4], [1, 8, 0]]"
120,"[[3, 5, 6], [2, 8, 0], [1, 4, 7]]","[[3, 5, 6], [2, 0, 8], [1, 4, 7]]"
121,"[[5, 0, 6], [3, 2, 7], [1, 8, 4]]","[[5, 2, 6], [3, 0, 7], [1, 8, 4]]"
122,"[[0, 6, 7], [3, 5, 4], [2, 1, 8]]","[[6, 0, 7], [3, 5, 4], [2, 1, 8]]"
123,"[[3, 0, 6], [2, 4, 7], [1, 5, 8]]","[[0, 3, 6], [2, 4, 7], [1, 5, 8]]"
124,"[[2, 3, 6], [5, 8, 7], [1, 4, 0]]","[[2, 3, 6], [5, 8, 0], [1, 4, 7]]"
125,"[[2, 3, 7], [0, 6, 4], [1, 5, 8]]","[[2, 3, 7], [1, 6, 4], [0, 5, 8]]"
126,"[[3, 7, 5], [0, 2, 6], [1, 8, 4]]","[[3, 7, 5], [1, 2, 6], [0, 8, 4]]"
127,"[[5, 0, 6], [3, 2, 7], [1, 8, 4]]","[[5, 6, 0], [3, 2, 7], [1, 8, 4]]"
128,"[[2, 3, 6], [1, 5, 0], [8, 4, 7]]","[[2, 3, 0], [1, 5, 6], [8, 4, 7]]"
129,"[[3, 6, 7], [2, 0, 8], [1, 4, 5]]","[[3, 0, 7], [2, 6, 8], [1, 4, 5]]"
130,"[[3, 6, 7], [2, 0, 8], [1, 4, 5]]","[[3, 6, 7], [0, 2, 8], [1, 4, 5]]"
131,"[[2, 0, 7], [6, 3, 5], [1, 8, 4]]","[[0, 2, 7], [6, 3, 5], [1, 8, 4]]"
132,"[[3, 7, 5], [0, 2, 6], [1, 8, 4]]","[[0, 7, 5], [3, 2, 6], [1, 8, 4]]"
133,"[[2, 3, 7], [0, 6, 4], [1, 5, 8]]","[[2, 3, 7], [6, 0, 4], [1, 5, 8]]"
134,"[[2, 3, 7], [6, 8, 5], [1, 0, 4]]","[[2, 3, 7], [6, 8, 5], [1, 4, 0]]"
135,"[[2, 0, 7], [6, 3, 5], [1, 8, 4]]","[[2, 7, 0], [6, 3, 5], [1, 8, 4]]"
136,"[[3, 0, 6], [2, 4, 7], [1, 5, 8]]","[[3, 4, 6], [2, 0, 7], [1, 5, 8]]"
137,"[[0, 2, 6], [5, 3, 7], [1, 8, 4]]","[[5, 2, 6], [0, 3, 7], [1, 8, 4]]"
138,"[[2, 0, 3], [5, 7, 6], [1, 8, 4]]","[[0, 2, 3], [5, 7, 6], [1, 8, 4]]"
139,"[[2, 3, 6], [1, 5, 0], [8, 4, 7]]","[[2, 3, 6], [1, 0, 5], [8, 4, 7]]"
140,"[[0, 3, 5], [2, 7, 6], [1, 8, 4]]","[[2, 3, 5], [0, 7, 6], [1, 8, 4]]"
141,"[[2, 3, 7], [6, 8, 5], [1, 0, 4]]","[[2, 3, 7], [6, 8, 5], [0, 1, 4]]"
142,"[[3, 5, 6], [2, 0, 4], [1, 7, 8]]","[[3, 0, 6], [2, 5, 4], [1, 7, 8]]"
143,"[[3, 5, 6], [2, 0, 4], [1, 7, 8]]","[[3, 5, 6], [0, 2, 4], [1, 7, 8]]"
144,"[[3, 5, 6], [1, 2, 7], [8, 4, 0]]","[[3, 5, 6], [1, 2, 0], [8, 4, 7]]"
145,"[[3, 5, 6], [2, 0, 4], [1, 7, 8]]","[[3, 5, 6], [2, 4, 0], [1, 7, 8]]"
146,"[[3, 6, 7], [1, 2, 0], [8, 4, 5]]","[[3, 6, 0], [1, 2, 7], [8, 4, 5]]"
147,"[[3, 6, 7], [1, 2, 4], [5, 0, 8]]","[[3, 6, 7], [1, 2, 4], [5, 8, 0]]"
148,"[[3, 7, 4], [2, 6, 0], [1, 5, 8]]","[[3, 7, 4], [2, 0, 6], [1, 5, 8]]"
149,"[[3, 7, 5], [2, 8, 6], [1, 0, 4]]","[[3, 7, 5], [2, 8, 6], [1, 4, 0]]"
150,"[[2, 0, 3], [5, 7, 6], [1, 8, 4]]","[[2, 7, 3], [5, 0, 6], [1, 8, 4]]"
